Ancient Greek Prose Data,,,,,,,,,,,,,,,,,,,,,,,,,
Data: https://github.com/timgianitsos/tesserae/tree/master/texts/grc,,Project: https://www.qcrit.org,Author: Tim Gianitsos (tgianitsos@yahoo.com),Repo (Private): https://github.com/jdexter476/ProseVerseClassification.git,Code commit: 4885e29884e47634bf60aa238a0b62b2166db3a3,Corpus commit: dcfed9d7d6909c46cdfa0d1a9b90e33c1612b944,Note: Frequencies are per-character,,,,,,,,,,,,,,,,,,
lucian.prometheus.tess,oratory,0.00400867,0.01570612,0.00368009,0.0061773,0.06643885,0.02234343,0.00440297,0.00484743,0.22580645,0.00630873,0.0209634,0.00276007,0.00506013,0.00749162,0.0003943,0.29032258,0.00414011,0.0003943,39.2222222,163.623656,0.15492958,1.80645161,0.16901408,15036.3422
lucian.prometheus_es_in_verbis.tess,miscellaneous,0.00367197,0.02172583,0.00091799,0.00642595,0.06731946,0.01790086,0.00642595,0.0059933,0.27586207,0.00428397,0.0122399,0,0.00244798,0.0125459,0.00305998,0.03448276,0.00550796,0.00275398,24.5,225.37931,0.0952381,2.71428571,0.0952381,38442.9941
lucian.pseudologista.tess,oratory,0.00401622,0.01830925,0.00133874,0.00334685,0.06110958,0.02941292,0.00460684,0.00484888,0.25657895,0.00629996,0.01992361,0.00094499,0.00224436,0.00377997,0.00220498,0.05263158,0.00413435,0.00094499,43.8387097,167.085526,0.2,1.55921053,0.25454545,13112.9203
lucian.quomodo_historia_conscribenda_sit.tess,miscellaneous,0.00646159,0.02091096,0.00168477,0.00404345,0.06856022,0.01829462,0.00463807,0.00465021,0.07142857,0.0071355,0.00479664,0.0009514,0.00049552,0.00354793,0.0020019,0.06593407,0.00541108,0.00166495,43.9545455,277.208791,0.18934911,2.56593407,0.23076923,30867.0553
lucian.rhetorum_praeceptor.tess,miscellaneous,0.00441979,0.01412601,0.00199324,0.00316319,0.07448652,0.02426553,0.00532975,0.00536913,0.04,0.00623971,0.01239276,0.00125661,0.00181992,0.00654303,0.00246988,0.04,0.00311985,0.00103995,44.0909091,184.624,0.1512605,1.736,0.17647059,14851.8026
lucian.saturnalia.tess,miscellaneous,0.00483219,0.02287237,0.00140573,0.00377789,0.0659228,0.02117378,0.00248931,0.00211507,0.1452514,0.00738007,0.02231594,0.00123001,0.00079072,0.00304574,0.00231359,0.11731844,0.00404147,0.00123001,40.8039216,190.759777,0.26797386,2.12290503,0.32026144,21765.4898
lucian.scytha.tess,oratory,0.00532875,0.02483885,0.00223464,0.00369575,0.06334336,0.02260421,0.00283627,0.00230436,0.11320755,0.00618823,0.01684572,0.00154706,0.00214869,0.00335196,0.00137516,0.09433962,0.00386764,0.00154706,45.3333333,219.528302,0.23404255,2.03846154,0.29787234,15735.6832
lucian.soleocista.tess,miscellaneous,0.00377811,0.01437523,0.00184298,0.00543679,0.04727239,0.01538887,0.00479174,0.00418145,0.30409357,0.01068927,0.01981202,0.00055289,0.00516034,0.00129008,0.00497604,0.01169591,0.00304091,0.00221157,21.7272727,63.4619883,0.07563025,1.06432749,0.08403361,1664.26025
lucian.somnium.tess,oratory,0.00337496,0.01223422,0.00134998,0.00261559,0.06969288,0.0220216,0.00430307,0.00390659,0.01818182,0.00708741,0.01830915,0.00244684,0.00345933,0.00084374,0.00312184,0.03636364,0.00379683,0.00151873,38.1111111,215.490909,0.1372549,2.07272727,0.17647059,19191.0136
lucian.symposium.tess,miscellaneous,0.00542014,0.01616533,0.00209198,0.00335985,0.05439158,0.01775017,0.00332816,0.00323527,0.07692308,0.0058322,0.01321753,0.00199689,0.00396209,0.00275762,0.00209198,0.13736264,0.0029478,0.00133126,63,173.346154,0.14545455,1.69230769,0.16969697,17740.3802
lucian.timon.tess,miscellaneous,0.00306058,0.02000759,0.00118882,0.00237764,0.06389275,0.01593525,0.00237764,0.0023761,0.2972973,0.00354117,0.01811053,0.00174529,0.00166941,0.00399646,0.00316176,0.2007722,0.00288352,0.00242823,45.0689655,152.644788,0.10989011,1.24710425,0.13186813,24827.9279
lucian.toxaris_vel_amicitia.tess,miscellaneous,0.00545584,0.02320283,0.00082148,0.00325491,0.06157971,0.01811897,0.00306891,0.00279965,0.08385093,0.0070058,0.01649152,0.00054248,0.00370439,0.00246443,0.00379739,0.11801242,0.00371989,0.00130196,56.1363636,200.36646,0.20338983,2.02173913,0.22033898,18424.9837
lucian.tyrannicida.tess,oratory,0.00414481,0.01511018,0.00183631,0.00482686,0.06190976,0.02712487,0.00383001,0.00281923,0.4,0.00713536,0.01778594,0.0003148,0.00089192,0.0024659,0.00094439,0.04444444,0.00346275,0.0003148,26.6428571,141.185185,0.14102564,1.41481481,0.16666667,17116.8472
lucian.verae_historiae.tess,miscellaneous,0.00443535,0.02288958,0.00229688,0.00105604,0.07022639,0.01267243,0.00174246,0.00169096,0.02444444,0.00897631,0.01277803,0.00054122,0.00142565,0.0030493,0.00446175,0.01111111,0.00178206,0.00118804,41.3709677,168.344444,0.12045455,2.35254989,0.14090909,13045.9769
lucian.vitarum_auctio.tess,miscellaneous,0.00773231,0.01647719,0.00110462,0.00124269,0.06682929,0.02250656,0.0032218,0.00270536,0.34153005,0.0066277,0.01661527,0.00055231,0.0019791,0.00451052,0.00124269,0.05464481,0.00096654,0.00193308,32.4375,59.363388,0.05439331,0.67486339,0.05439331,4014.83243
lucian.zeuxis.tess,oratory,0.00639985,0.02464419,0.0019104,0.00152832,0.05807623,0.02760531,0.002388,0.00256726,0.1,0.00764161,0.00897889,0,0.00162384,0.00229248,0.00267456,0.075,0.00372528,0.00229248,41.75,261.725,0.08333333,2.725,0.08333333,55028.6494
lycurgus.against_leocrates.tess,oratory,0.00422288,0.01300594,0.0014436,0.00295467,0.04553427,0.02497302,0.00195629,0.00200708,0.1840796,0.00615219,0.01261468,0.00076902,0.00346735,0.00528872,0.00264436,0.17412935,0.00165947,0.0021047,49.4871795,184.378109,0.28353659,1.63523573,0.32926829,15517.0312
lysias.speeches.part.1.tess,oratory,0.00339527,0.01913698,0.00216063,0.00475338,0.04259522,0.03382925,0.00234582,0.00218688,0.07954545,0.00839558,0.02852028,0.00321007,0.00790172,0.00524724,0.0057411,0.28409091,0.00351874,0.00259275,39.5,184.079545,0.20987654,1.78409091,0.27160494,16694.8232
lysias.speeches.part.10.tess,oratory,0.00202634,0.02279635,0.0006079,0.00739615,0.04174265,0.02644377,0.0029382,0.00351256,0.22222222,0.01013171,0.02553191,0.0006079,0.00172239,0.00141844,0.00364742,0.22222222,0.00273556,0.00303951,30.125,137.083333,0.16071429,1.83333333,0.17857143,10186.3819
lysias.speeches.part.11.tess,oratory,0,0.02559055,0,0.01546682,0.04218223,0.01546682,0.00984252,0.01047806,0.21875,0.00899888,0.0264342,0,0,0,0.00140607,0,0.00506187,0.00168729,42.8333333,111.125,0.2,1.6875,0.24,5486.10938
lysias.speeches.part.12.tess,oratory,0.00270946,0.02361103,0.0020842,0.00330495,0.04796641,0.02691598,0.00107188,0.00099269,0.13259669,0.01107604,0.0195915,0.00205443,0.00663967,0.00372179,0.00482344,0.06629834,0.00267969,0.00250104,42.1875,185.558011,0.23566879,2.25966851,0.3566879,13835.2301
lysias.speeches.part.13.tess,oratory,0.00324985,0.02188432,0.00271318,0.00474061,0.0444842,0.03846154,0.0033393,0.00304988,0.07894737,0.00751342,0.01902206,0.00146094,0.00095408,0.00205725,0.00572451,0.14210526,0.00465116,0.00232558,42.25,176.526316,0.25714286,1.85263158,0.31428571,12156.0704
lysias.speeches.part.14.tess,oratory,0.00947105,0.02335001,0.0007148,0.0061949,0.04556826,0.02269478,0.00268049,0.00250169,0.14285714,0.01167501,0.01852514,0.00101263,0.0063736,0.00238265,0.00470574,0.24675325,0.00393138,0.00250179,37.7391304,218.025974,0.21538462,2.36842105,0.24615385,22430.1292
lysias.speeches.part.15.tess,oratory,0.00505172,0.02646139,0,0.00769786,0.03897041,0.02116911,0.00312726,0.00285418,0.07142857,0.00962232,0.02213134,0,0.01226846,0,0.00577339,0.57142857,0,0.00144335,56.1666667,296.928571,0.30769231,3.35714286,0.38461538,15497.352
lysias.speeches.part.16.tess,oratory,0.00633698,0.01366799,0.00198807,0.00434891,0.0390159,0.0234841,0.00198807,0.00132118,0.05,0.00994036,0.02733598,0.00186382,0.00559145,0.0013668,0.00434891,0.225,0.00335487,0.00596421,22,201.2,0.02631579,1.775,0.02631579,17906.11
lysias.speeches.part.17.tess,oratory,0.00153335,0.00894454,0.00204447,0.00434449,0.04651163,0.02376693,0.00204447,0.00204447,0,0.0122668,0.04216714,0.00127779,0.00460005,0,0.00996678,0.08333333,0.00230003,0.00153335,40.8,163.041667,0.29166667,2.33333333,0.41666667,8931.87326
lysias.speeches.part.18.tess,oratory,0.00406417,0.01582888,0,0.0031016,0.04427807,0.01839572,0.00053476,0.00023272,0.15625,0.01197861,0.03122995,0,0.00684492,0.00278075,0.00278075,0.21875,0.00064171,0.00256684,56.2222222,292.1875,0.44444444,2.78125,0.55555556,25778.5898
lysias.speeches.part.19.tess,oratory,0.00394131,0.01438815,0.00056983,0.00370388,0.05441854,0.02103614,0.00356142,0.00350191,0.0483871,0.0075977,0.02046631,0.00128211,0.00370388,0.00218434,0.00731279,0.12903226,0.00256422,0.0019944,37.3157895,169.830645,0.24576271,2.05645161,0.29661017,9812.06003
lysias.speeches.part.2.tess,oratory,0.00507972,0.02042472,0.0008819,0.00172852,0.0471991,0.02109496,0.0001411,7.71E-05,0.17894737,0.01509807,0.00112883,0.00035276,0.00744321,0.00359814,0.00105828,0.01052632,0.00074079,0.0019049,46.6153846,298.4,0.19230769,3.77894737,0.26923077,64159.2295
lysias.speeches.part.20.tess,oratory,0.00516365,0.01763584,0,0.00738799,0.04965046,0.02327614,0.00484588,4.43E-03,0.10227273,0.01143947,0.047585,0.00365427,0.00579917,0.00373371,0.00548141,0.05681818,0.00238322,0.0042898,37.875,143.045455,0.24050633,2.10227273,0.27848101,7272.56612
lysias.speeches.part.21.tess,oratory,0.00559472,0.01230838,0.00067137,0.0060423,0.04990489,0.0199172,0.0020141,0.00204732,0.06818182,0.00895155,0.04733132,0.00179031,0.01152512,0.00290925,0.00324494,0.22727273,0.00234978,0.0020141,36.8461538,203.113636,0.26829268,2.06818182,0.31707317,15638.2825
lysias.speeches.part.22.tess,oratory,0.00631951,0.03361982,0.00075834,0.01011122,0.03336704,0.03526289,0.00214863,0.00089405,0.17391304,0.00960566,0.02287664,0.0012639,0.00164307,0.00606673,0.00935288,0.15217391,0.00530839,0.00303337,36.9333333,172,0.21052632,1.7826087,0.28947368,10988.087
lysias.speeches.part.23.tess,oratory,0.00780234,0.02990897,0.00297232,0.00390117,0.03511053,0.03269552,0.00222924,0.00222924,0,0.00966004,0.01969162,0,0.0074308,0.00241501,0.00947427,0.06060606,0.00334386,0.00111462,34.7647059,163.121212,0.42424242,1.84848485,0.51515152,12936.4702
lysias.speeches.part.24.tess,oratory,0.00839711,0.01201105,0.00063776,0.00542092,0.04453656,0.02604167,0.00212585,0.00115016,0.25,0.00977891,0.03752126,0.00063776,0.00361395,0.00946003,0.00393282,0.23333333,0.00701531,0.00191327,39.4285714,156.8,0.35555556,1.66666667,0.4,9766.56
lysias.speeches.part.25.tess,oratory,0.0051959,0.01530684,0.00084258,0.0047044,0.0401629,0.02850723,0.00252773,0.00262486,0.03448276,0.0117961,0.02675186,0.00112344,0.0051959,0.00358096,0.00400225,0.29310345,0.00105322,0.00294902,40.4782609,245.551724,0.26785714,2.77192982,0.41071429,19646.4542
lysias.speeches.part.26.tess,oratory,0.0072095,0.03869805,0.00169635,0.00678541,0.04834606,0.03954623,0.00053011,0.00065342,0.20454545,0.00805768,0.02014419,0.00063613,0.00296862,0,0.00413486,0.02272727,0.00318066,0.00254453,60.0555556,214.363636,0.31428571,2.09090909,0.34285714,16747.3678
lysias.speeches.part.27.tess,oratory,0.00706781,0.03037249,0,0.00840497,0.04909265,0.03457498,0.00210124,0.0022164,0.07692308,0.00916905,0.03839542,0,0.00668577,0.00286533,0.00382044,0.19230769,0.0017192,0.00229226,41.3333333,201.346154,0.20833333,2.34615385,0.33333333,8757.14941
lysias.speeches.part.28.tess,oratory,0.00450101,0.01971131,0,0.00512184,0.05509856,0.02747167,0.00031041,0.00032331,0.04166667,0.00993326,0.0301102,0.00248332,0.0107093,0.00589787,0.0043458,0.41666667,0.00465622,0.00465622,60,268.458333,0.17391304,2.125,0.2173913,33727.2483
lysias.speeches.part.29.tess,oratory,0.00450354,0.04246193,0,0.00664808,0.05039674,0.03710058,0,0,0.20689655,0.00943599,0.01737079,0,0.01200944,0,0.00557581,0.24137931,0.00321681,0.00257345,50.1428571,160.793103,0.26086957,1.89655172,0.30434783,8610.99168
lysias.speeches.part.3.tess,oratory,0.00591677,0.0235341,0.00086425,0.00465364,0.04826486,0.03317378,0.00299162,0.00318674,0.11688312,0.01037096,0.03164473,0.0020609,0.00352347,0.00691397,0.00824358,0.18181818,0.00398883,0.00558436,39.2258065,195.350649,0.29411765,2.03896104,0.35294118,12276.1757
lysias.speeches.part.30.tess,oratory,0.00223662,0.0165047,0.00308499,0.00539874,0.04558075,0.03270091,0.00269937,0.00239868,0.12857143,0.00956347,0.02228906,0.00131112,0.00069412,0.00393336,0.00917785,0.17142857,0.00300787,0.00323924,40.84,185.228571,0.29508197,1.92857143,0.37704918,18960.862
lysias.speeches.part.31.tess,oratory,0.00602559,0.02921998,0.00090797,0.00462237,0.04085844,0.03029303,0.00751135,0.00812065,0.26785714,0.00693355,0.02030541,0.00321915,0.01180355,0.0027239,0.00453983,0.05357143,0.00297152,0.00099051,52.6296296,216.339286,0.3902439,2.5,0.53658537,26203.6885
lysias.speeches.part.32.tess,oratory,0.00186031,0.0300186,0.00109927,0.00287502,0.04819888,0.03120244,0.0004228,0.00043937,0.04,0.01116185,0.012092,0.00126839,0.00600372,0.0031287,0.00634196,0.18,0.00152207,0.00202943,38.4117647,236.52,0.25,2.36,0.29166667,23041.6896
lysias.speeches.part.33.tess,oratory,0.00237047,0.02472062,0,0.00101592,0.04910261,0.0193024,0,0,0.18181818,0.02031832,0.00575686,0.00169319,0,0.00406366,0.00880461,0.09090909,0,0.00203183,67,268.454545,0.33333333,4.6,0.33333333,16104.6116
lysias.speeches.part.34.tess,oratory,0.00177126,0.0242915,0,0.01088057,0.05263158,0.02631579,0.00126518,0,0.29411765,0.01518219,0.02454453,0.00404858,0.0167004,0.00784413,0.00961538,0.23529412,0,0.00455466,41,232.470588,0.25,3.17647059,0.33333333,16551.308
lysias.speeches.part.4.tess,oratory,0.00472515,0.01779808,0.00094503,0.00425264,0.04851158,0.05181918,0.00126004,0.00133156,0.08108108,0.01008033,0.03543865,0,0.00283509,0.00189006,0.00094503,0.10810811,0.00236258,0.00283509,29.3333333,171.594595,0.29411765,2.21621622,0.35294118,19836.8356
lysias.speeches.part.5.tess,oratory,0.01170836,0.01543374,0,0.00691857,0.05002661,0.02980309,0.00532198,0.00532198,0,0.01277275,0.02075572,0.00319319,0.00691857,0,0.00266099,0.16666667,0,0.00319319,52.3333333,313.166667,0.16666667,5,0.5,8580.13889
lysias.speeches.part.6.tess,oratory,0.00366796,0.02398285,0.00124146,0.0035551,0.05902601,0.03098019,0.00259579,0.00213082,0.15254237,0.00632019,0.01817053,0.00270865,0.00468371,0.00197506,0.00282151,0.05084746,0.00203149,0.00304723,36.375,150.177966,0.29,1.48305085,0.37,8040.09545
lysias.speeches.part.7.tess,oratory,0.0052179,0.01344896,0.00044095,0.00558536,0.04666716,0.02344382,0.00183729,0.0015832,0.12121212,0.00970089,0.02800029,0.00036746,0.00720218,0.00734916,0.00485044,0.18181818,0.00462997,0.00220475,36.6486486,206.166667,0.44827586,2.37878788,0.56896552,11873.6237
lysias.speeches.part.8.tess,oratory,0.00215393,0.02197013,0.00229753,0.00258472,0.03891442,0.04135554,0.00143596,0.00165071,0.22,0.01378518,0.06648478,0.00229753,0.02024698,0.00516944,0.00761057,0,0.00172315,0.00172315,35.9230769,139.28,0.20512821,1.9,0.28205128,6087.8016
lysias.speeches.part.9.tess,oratory,0.00113195,0.00614489,0.00080854,0.00436611,0.03783959,0.01584735,0.00177878,0.00087047,0.10810811,0.02263907,0.01552393,0,0.00145537,0,0,0.02702703,0.00242561,0.00097025,43.75,167.135135,0.12121212,2.97297297,0.12121212,10396.0628
marcus_aurelius.m._antonius_imperator_ad_se_ipsum.tess,philosophy,0.00556139,0.01348533,0.00141648,0.00467282,0.06445256,0.02151903,0.0039672,0.00383569,0.199012,0.00424422,0.00674267,0.00103492,0.00963835,0.00306817,0.0019444,0.00705716,0.00316748,0.00106628,35.0296296,135.016937,0.18005296,1.11503176,0.20917917,14041.3166
pausanias.description_of_greece.part.1.tess,history,0.00496991,0.01179919,0.00119324,0.00049236,0.06160253,0.01588865,0.00063138,0.00063347,0.00372671,0.00753016,0.00217216,9.85E-05,0.00013902,0.00355076,0.0016045,0,0.00258922,0.00024328,53.2272727,214.458385,0.27680798,2.691067,0.32917706,10786.8917
pausanias.description_of_greece.part.10.tess,history,0.00467371,0.01485615,0.0010633,0.00043253,0.06608075,0.01360663,0.00088909,0.00088995,0.00125786,0.00874669,0.00195239,1.56E-04,0.00028835,0.00303371,0.00153788,0.00125786,0.00198242,0.00025231,54.9487179,209.387421,0.13350126,3.1075,0.14735516,11336.1115
pausanias.description_of_greece.part.2.tess,history,0.0040597,0.0167735,0.00087135,0.0005809,0.06345015,0.01887926,0.00077893,0.00076717,0.00112867,0.00794777,0.00257444,0.00014523,0.00010562,0.00242922,0.00132023,0.00112867,0.00217838,7.92E-05,48.6315789,170.980813,0.15932203,2.41657335,0.17175141,7436.68022
pausanias.description_of_greece.part.3.tess,history,0.00355652,0.0144014,0.00124395,0.00023376,0.06179663,0.01463516,0.0006011,0.00060194,0.00312012,0.00694607,0.0018534,0.00010018,0.00020037,0.00355652,0.00099349,0,0.00237936,3.01E-04,50.8543689,186.864275,0.15023474,2.5627907,0.16118936,8845.02214
pausanias.description_of_greece.part.4.tess,history,0.00499515,0.01437309,0.00172009,0.00047475,0.0634439,0.01467583,0.0010527,0.00104126,0.00290698,0.00806379,0.00165817,0.00011697,0.00055731,0.00253198,0.00167881,0.00145349,0.00344707,0.00057795,54.2074074,211.251453,0.18658892,2.90620491,0.196793,11911.6214
pausanias.description_of_greece.part.5.tess,history,0.0040713,0.02062129,0.0008937,0.00025652,0.06619996,0.01610314,0.0008275,0.00083003,0.005,0.00900319,0.00279695,4.96E-05,0.0001986,0.00292107,0.0010592,0.00166667,0.00186187,4.96E-05,54.3764706,201.41,0.12730318,3.0730897,0.14237856,10179.5986
pausanias.description_of_greece.part.6.tess,history,0.0039396,0.01871758,0.00114088,0.00043674,0.06275737,0.01447493,0.00090914,0.00091409,0.00573614,0.01005401,0.00212133,9.80E-05,7.13E-05,0.00357417,0.00091805,0.00382409,0.00197872,5.35E-05,57.1470588,214.520076,0.11923077,3.32952381,0.13076923,10346.9341
pausanias.description_of_greece.part.7.tess,history,0.00533634,0.01586608,0.00129438,0.0004844,0.06411549,0.01086326,0.00121497,0.00121602,0.00175439,0.00803627,0.00191378,2.06E-04,6.04E-04,0.0045343,0.00173113,0.00175439,0.002287,1.91E-04,59.625,220.92807,0.14411248,2.97565217,0.15465729,15333.5404
pausanias.description_of_greece.part.8.tess,history,0.00423263,0.01733773,0.00097511,0.00053042,0.06576656,0.01435881,0.00073401,0.00072154,0.00557414,0.00859385,0.00304857,0.00017681,0.0003429,0.00290391,0.00061079,0,0.00181628,0.00028932,55.4580153,208.076923,0.13004484,3.05654102,0.14461883,13270.9383
pausanias.description_of_greece.part.9.tess,history,0.00416228,0.01627604,0.00090707,0.00049011,0.06246342,0.01462283,0.00090707,0.00090783,0.00140845,0.0075199,0.00260417,0.00039501,0.00059252,0.00456461,0.00144107,0.00140845,0.00289677,0.00035112,52.5422535,192.540845,0.17912553,2.68049793,0.20028209,10840.7244
philostratus_the_athenian.de_gymnastica.tess,technical treatise,0.00197554,0.01120133,0.00069144,0.00185701,0.0760584,0.01319663,0.0016397,0.00165165,0.04310345,0.01303858,0.00154092,0.00063217,0.00207432,0.00203481,0.00391157,0.00431034,0.00290405,0.00023707,42.8,218.185345,0.20720721,3.4612069,0.25675676,21266.1941
philostratus_the_athenian.epistulae_et_dialexeis.tess,letters,0.0037638,0.01110321,0,0.00478839,0.07331047,0.01384242,0.00148461,0.00152341,0.22520107,0.00819672,0.01143777,0.0010455,0.0035547,0.00192372,0.00472566,0.05093834,0.00526932,0.00037638,40.5614035,128.214477,0.15224913,1.46112601,0.16955017,26324.2006
philostratus_the_athenian.heroicus.tess,miscellaneous,0.0017528,0.02631353,0.00044357,0.00192451,0.06876002,0.01228394,0.00166695,0.00166107,0.11503067,0.0094723,0.00509386,0.00044357,0.0043999,0.00362008,0.00422104,0.07668712,0.00315505,8.59E-05,41.8938776,214.380368,0.27700348,3.06859756,0.40069686,35856.4289
philostratus_the_athenian.vita_apollonii.part.1.tess,miscellaneous,0.00169058,0.02311456,0.00023937,0.00230398,0.06641133,0.01428764,0.00264808,0.0027832,0.04615385,0.00819856,0.00981434,0.00032914,0.00523631,0.00236382,0.00305202,0.12615385,0.00296225,0.00E+00,39.2751678,205.664615,0.36956522,2.93538462,0.48550725,26590.2291
philostratus_the_athenian.vita_apollonii.part.2.tess,miscellaneous,0.0007721,0.02154298,0.0002725,0.0030581,0.06084416,0.01326188,0.00248282,0.00252652,0.06269592,0.00799346,0.00853847,7.57E-05,0.00670663,0.00296727,0.00572259,0.15360502,0.00349714,0,36.4198473,207.065831,0.3307393,2.99059561,0.43968872,25305.0834
philostratus_the_athenian.vita_apollonii.part.3.tess,miscellaneous,0.00202881,0.02699396,0.0003562,0.00218368,0.06111197,0.01856899,0.00209075,0.00203481,0.03560831,0.00997367,0.00853337,4.65E-04,0.00501781,0.00446028,0.00555986,0.05637982,0.00195137,0,36.7372263,191.602374,0.32423208,2.79585799,0.44368601,18064.3523
philostratus_the_athenian.vita_apollonii.part.4.tess,miscellaneous,0.00243025,0.02304061,0.00015579,0.00199405,0.06360705,0.01529809,0.00236793,0.00221019,0.0787172,0.00822545,0.00763347,0.00028041,0.00405041,0.00378558,0.00450219,0.05247813,0.00359864,0,35.368,187.145773,0.29473684,2.62973761,0.36842105,23016.6785
philostratus_the_athenian.vita_apollonii.part.5.tess,miscellaneous,0.00074436,0.02084195,0.00043007,0.00176991,0.05766272,0.01457282,0.00178645,0.00180879,0.13758389,0.0115127,0.00921346,0.00046315,0.00615334,0.00259697,0.00400298,0.09731544,0.00387065,0,31.6691729,202.869128,0.35267857,2.79530201,0.50446429,30575.5634
philostratus_the_athenian.vita_apollonii.part.6.tess,miscellaneous,0.0019346,0.02561461,0.00032662,0.00236172,0.05842745,0.0165446,0.00267578,0.00252133,0.08235294,0.00999962,0.01202216,0.00038943,0.00619323,0.0041707,0.0039697,0.08235294,0.0040702,0,36.7457627,234.126471,0.42348754,3.39705882,0.55871886,47348.2575
philostratus_the_athenian.vita_apollonii.part.7.tess,miscellaneous,0.00079177,0.02199349,0.00030791,0.00318172,0.05149409,0.01768277,0.00304976,0.00289825,0.09433962,0.01243365,0.01606991,0.00033723,0.00681798,0.00357761,0.00329902,0.08176101,0.00563033,0,34,214.471698,0.43153527,3.30188679,0.68049793,31755.0291
philostratus_the_athenian.vita_apollonii.part.8.tess,miscellaneous,0.00167484,0.02090893,0.00050511,0.00307054,0.05273092,0.01580465,0.00249897,0.00244348,0.17125382,0.01116561,0.01416969,0.00054499,0.00502452,0.00417381,0.00548976,0.13455657,0.00334968,0,31.2473118,230.06422,0.39442231,3.16463415,0.59760956,42668.2069
philostratus_the_athenian.vitae_sophistarum.tess,history,0.00190379,0.02236949,0.00073461,0.00107088,0.06138159,0.01237978,0.00161925,0.00160888,0.03803132,0.01123648,0.004268,0.00041387,0.00540096,0.00586656,0.00361099,0.03691275,0.00386448,6.21E-05,43.3902439,216.218121,0.26658768,2.88255034,0.32701422,18671.0788
philostratus_the_lemnian.imagines.tess,miscellaneous,0.00264506,0.02746157,0.00050547,0.00137793,0.07175599,0.01025481,0.00269353,0.00270314,0.06005587,0.01096801,0.00276278,0.0002285,0.0021119,0.00256197,0.00260352,0.0726257,0.00334441,8.31E-05,38.5968586,201.703911,0.21991085,2.5799458,0.27786033,22754.7168
plato.alcibiades_1.tess,philosophy,0.00847431,0.01453407,0.00081004,0.00570147,0.0555971,0.01923856,0.00232109,0.00194207,0.40995475,0.00654267,0.01926971,0.00110602,0.00722809,0.00300651,0.00590398,0.08144796,0.0026638,4.67E-04,33.2335766,58.0941176,0.08992248,0.9954792,0.10852713,4834.64454
plato.alcibiades_2.tess,philosophy,0.00658333,0.017235,0.00077668,0.00480805,0.05632813,0.0273319,0.00595458,0.00582473,0.29779412,0.00828464,0.01619942,0.00085065,0.00366151,0.00229307,0.00347659,0.09926471,0.00255196,0.0022191,36.804878,99.4044118,0.07853403,1.59642857,0.09947644,15796.182
plato.apologia.tess,philosophy,0.0097872,0.01214963,0.00166969,0.00650112,0.05522399,0.02817152,0.00532879,0.00525417,0.22028986,0.00753135,0.03961064,0.00197165,0.00605705,0.00296636,0.00328608,0.28695652,0.00341042,0.00191836,41.1941748,163.182609,0.25855513,2.22608696,0.31939163,20621.6507
plato.charmides.tess,philosophy,0.01335605,0.0140916,0.0016066,0.0055747,0.05545662,0.01951144,0.00538113,0.00345054,0.30888031,0.00634896,0.02605397,0.00114204,0.00828462,0.00228408,0.00354226,0.12548263,0.00313577,0.00081298,28.1328671,99.7335907,0.19327731,1.67244701,0.25490196,10602.7437
plato.cleitophon.tess,philosophy,0.00848963,0.01411649,0,0.00286278,0.05844028,0.02171767,0.00384995,0.00372731,0.21153846,0.00750247,0.02477789,0.00335637,0.00375123,0.01115499,0.00365252,0.17307692,0.00503455,0.0023692,37.5384615,194.807692,0.2195122,2.65384615,0.26829268,15459.6169
plato.cratylus.tess,philosophy,0.0058137,0.01679904,0.00163593,0.00495176,0.05701997,0.02749413,0.0046879,0.00396969,0.30964052,0.0073177,0.01340405,0.00060688,0.00096748,0.00182063,0.00391391,0.11029412,0.00290245,0.00121375,31.2446352,92.8897059,0.1452381,1.3887987,0.18333333,9448.75663
plato.critias.tess,philosophy,0.00729654,0.01805426,0.00112254,0.00077954,0.05456813,0.0147178,0.00134082,0.00134953,0.025,0.01035235,0.00371063,0.00031182,0.00053009,0.00452136,0.00215154,0.075,0.00196445,0.00074836,48,267.25,0.28205128,3.87394958,0.31623932,28115.1042
plato.crito.tess,philosophy,0.00817801,0.01251426,0.00148345,0.0080639,0.06873336,0.02700647,0.00308102,0.0033031,0.3632287,0.00532522,0.03678205,0.00182579,0.00106504,0.0035755,0.00266261,0.24663677,0.0038798,0.00159757,38.1754386,117.892377,0.21481481,1.61607143,0.28148148,17267.1454
plato.epinomis.tess,philosophy,0.00547842,0.01308318,0.00137586,0.0020763,0.06003752,0.02479049,0.00450281,0.0046875,0.10404624,0.00940588,0.00995622,0.00042527,0.00137586,0.01048155,0.00222639,0.07514451,0.00435272,0.00060038,47.9230769,231.069364,0.30967742,4.16184971,0.4,30465.4981
plato.epistles.part.1.tess,letters,0.01796407,0.00399202,0,0,0.03043912,0,0.00249501,0.00249501,0,0.00199601,0.0503992,0.00249501,0.00449102,0.00598802,0.00299401,0.05,0.00149701,0.00299401,31,100.2,0.05,0.85,0.05,13670.16
plato.epistles.part.10.tess,letters,0.03009259,0,0,0,0.08564815,0.01388889,0,0,0,0,0.0162037,0,0,0.02314815,0,0,0,0,0,144,0,1.33333333,0,18020.6667
